Row Labels,Average of salary_year_avg,,,,,,Row Labels,Sum of Average of salary_year_avg
Director of Analytics,336500,,,,,,Director of Analytics,336500
Associate Director- Data Insights,255829.5,,,,,,Associate Director- Data Insights,255829.5
"Data Analyst, Marketing",232423,,,,,,"Data Analyst, Marketing",232423
Data Analyst (Hybrid/Remote),217000,,,,,,Data Analyst (Hybrid/Remote),217000
Principal Data Analyst (Remote),205000,,,,,,Principal Data Analyst (Remote),205000
"Director, Data Analyst - HYBRID",189309,,,,,,"Director, Data Analyst - HYBRID",189309
"Principal Data Analyst, AV Performance Analysis",189000,,,,,,"Principal Data Analyst, AV Performance Analysis",189000
ERM Data Analyst,184000,,,,,,ERM Data Analyst,184000
REMOTE Director of Data Analytics,170000,,,,,,REMOTE Director of Data Analytics,170000
DTCC Data Analyst,170000,,,,,,DTCC Data Analyst,170000
Azure Data Python Consultant - contract to HIRE - Citizen or Perm...,170000,,,,,,Azure Data Python Consultant - contract to HIRE - Citizen or Perm...,170000
Grand Total,210823.7727,,,,,,Grand Total,2319061.5
